"810,153","FLASH DRIVE USB2.0 16GB Silicon Power Touch825 Silver SP0016GBUF2825V1C","6.98","8","0","0","   PEN DRIVE USB SILICONPOWER",""
"810,117","FLASH DRIVE USB2.0 32GB Silicon Power UltimaII Nero SP032GBUF2M01V1K","8.98","29","0","0","   PEN DRIVE USB SILICONPOWER",""
"810,098","FLASH DRIVE USB2.0 4GB Silicon Power UltimaII Nero SP004GBUF2M01V1K","2.89","1,049","0","43","   PEN DRIVE USB SILICONPOWER",""
"24,402","SPORTWATCH HANNSPREE SW68SD12 BT Pedometer function-Sleep monitoring-Alarm clock Fino:24/0","21.9","5","0","2","  HANNSPREE HOME/CONSUMER",""
"5,835","SMART WEATHER STATION PRESTIGIO PTH01BT misuratore temperatura/umidità/pressione atmosferi","31.9","3","0","0","  PRESTIGIO HOME/CONSUMER",""
"5,313","SMARTHEALT PRESTIGIO PHCBFS BILANCIA PESA PERSONA rileva peso, massa grassa, massa muscola","46.9","1","0","0","  PRESTIGIO HOME/CONSUMER",""
"32,520","CABINET ATX 500W MIDI TOWER ATLANTIS WL01-C35 mod.ARIA C35 NERO/SILVER-2x5.25""-4x3.5""- 2xU","24.9","81","0","32"," ATLANTIS PREMIUM CABINET",""
"32,527","CABINET ATX 550W MIDI TOWER ATLANTIS WL01-B27U mod.ARIA B27U NERO-3x5.25""-4x3.5""- 2xUSB2.0","30.9","49","0","6"," ATLANTIS PREMIUM CABINET",""
"32,525","CABINET ATX 550W MIDI TOWER ATLANTIS WL01-B53U mod.ARIA B53U NERO-2x5.25""-4x3.5""- 2xUSB2.0","30.9","35","0","2"," ATLANTIS PREMIUM CABINET",""
"32,523","CABINET ATX 600W MIDI TOWER ATLANTIS WL01-A66 mod.ARIA A66 NERO-2x5.25""-4x3.5""- 2xUSB2.0+1","38.9","6","42","4"," ATLANTIS PREMIUM CABINET",""
"32,524","CABINET GAMING ATX 600W MIDI TOWER ATLANTIS WL01-A65 mod.ARIA A65 NERO-2x5.25""-4x3.5""- 2x2","41.9","24","0","0"," ATLANTIS PREMIUM CABINET",""
"340,303","HARD DISK NB SATA 2.5"" 1000GB(1TB) TOSHIBA MQ01ABD100 5400rpm 8 MB Cache 3 anni Garanzia","46.9","15","0","4"," HARD DISK TOSHIBA 2,5""",""
"340,320","HARD DISK NB SATA 2.5"" 500GB TOSHIBA MQ01ABF050 5400rpm 8 MB Cache Altezza 7mm 3 anni Gara","35.9","42","0","5"," HARD DISK TOSHIBA 2,5""",""
"340,304","HARD DISK SATA3 3.5""  500GB TOSHIBA DT01ACA050 7200RPM 32mb cache 2 anni Garanzia","39.9","4","0","109"," HARD DISK TOSHIBA 3,5""",""
"340,305","HARD DISK SATA3 3.5"" 1000GB(1TB) TOSHIBA DT01ACA100 7200RPM 32mb cache 2 anni Garanzia","44.9","449","0","43"," HARD DISK TOSHIBA 3,5""",""
"340,306","HARD DISK SATA3 3.5"" 2000GB(2TB) TOSHIBA DT01ACA200 7200RPM 64mb cache 2 anni Garanzia","68.9","8","0","12"," HARD DISK TOSHIBA 3,5""",""
"820,747","ADATTATORE DisplayPort/VGA LINDY 41006 DisplayPort M a VGA F","16.25","82","0","3"," LINDY CAVETTERIA",""
"820,749","ADATTATORE SU STAFFA SERIALE  LINDY 33136 9 Poli sub-D M a 2/2 IDC F - EAN: 4002888331364","2.2","40","0","0"," LINDY CAVETTERIA",""
"898,828","CAVO AUDIO JACK 3.5mm LINDY 35458 M/M 20mt - EAN: 4002888354585","7.15","18","0","0"," LINDY CAVETTERIA",""
